trend_name,trend_url,trend_query,tweet_volume,searched_at_datetime,searched_in_country,sentiment
#4corners,http://twitter.com/search?q=%234corners,%234corners,,10:20.8,Australia,Positive
#couchpeloton,http://twitter.com/search?q=%23couchpeloton,%23couchpeloton,,10:20.8,Australia,Positive
#Eternals,http://twitter.com/search?q=%23Eternals,%23Eternals,160462,10:20.8,Australia,Positive
#PanVisibilityDay,http://twitter.com/search?q=%23PanVisibilityDay,%23PanVisibilityDay,14413,10:20.8,Australia,Positive
#Giro,http://twitter.com/search?q=%23Giro,%23Giro,25718,10:20.8,Australia,Positive
#Eternals,http://twitter.com/search?q=%23Eternals,%23Eternals,160807,10:20.8,Brazil,Positive
#VALORANTMasters,http://twitter.com/search?q=%23VALORANTMasters,%23VALORANTMasters,,10:20.8,Brazil,Positive
#DIGAMENSTRUAÇÃO,http://twitter.com/search?q=%23DIGAMENSTRUA%C3%87%C3%83O,%23DIGAMENSTRUA%C3%87%C3%83O,,10:20.8,Brazil,Positive
#FREEZE_Tracklist,http://twitter.com/search?q=%23FREEZE_Tracklist,%23FREEZE_Tracklist,131698,10:20.8,Brazil,Positive
#justiceforpeep,http://twitter.com/search?q=%23justiceforpeep,%23justiceforpeep,10808,10:20.8,Brazil,Positive
#Eternals,http://twitter.com/search?q=%23Eternals,%23Eternals,160807,10:20.8,Canada,Positive
#Habs2021,http://twitter.com/search?q=%23Habs2021,%23Habs2021,,10:20.8,Canada,Positive
#TheView,http://twitter.com/search?q=%23TheView,%23TheView,,10:20.8,Canada,Positive
#PanVisibilityDay,http://twitter.com/search?q=%23PanVisibilityDay,%23PanVisibilityDay,14413,10:20.8,Canada,Positive
#mondaythoughts,http://twitter.com/search?q=%23mondaythoughts,%23mondaythoughts,32327,10:20.8,Canada,Positive
#Eternals,http://twitter.com/search?q=%23Eternals,%23Eternals,160462,10:20.8,France,Positive
#LaCasaDePapel,http://twitter.com/search?q=%23LaCasaDePapel,%23LaCasaDePapel,,10:20.8,France,Positive
#FreebetWinamax,http://twitter.com/search?q=%23FreebetWinamax,%23FreebetWinamax,,10:20.8,France,Positive
#StaySelcaDay,http://twitter.com/search?q=%23StaySelcaDay,%23StaySelcaDay,115620,10:20.8,France,Positive
#macflyetcarlito,http://twitter.com/search?q=%23macflyetcarlito,%23macflyetcarlito,10043,10:20.8,France,Positive
#Valls,http://twitter.com/search?q=%23Valls,%23Valls,,10:20.8,France,Positive
#PanVisibilityDay,http://twitter.com/search?q=%23PanVisibilityDay,%23PanVisibilityDay,14413,10:20.8,France,Positive
#sarahfraisou,http://twitter.com/search?q=%23sarahfraisou,%23sarahfraisou,,10:20.8,France,Positive
#Biomutant,http://twitter.com/search?q=%23Biomutant,%23Biomutant,,10:20.8,France,Positive
#mercantourclassic,http://twitter.com/search?q=%23mercantourclassic,%23mercantourclassic,,10:20.8,France,Positive
#Darmanin,http://twitter.com/search?q=%23Darmanin,%23Darmanin,,10:20.8,France,Positive
#LesRP,http://twitter.com/search?q=%23LesRP,%23LesRP,,10:20.8,France,Positive
#LOSCCHAMPION,http://twitter.com/search?q=%23LOSCCHAMPION,%23LOSCCHAMPION,,10:20.8,France,Positive
#DONT_FIGHT_THE_FEELING,http://twitter.com/search?q=%23DONT_FIGHT_THE_FEELING,%23DONT_FIGHT_THE_FEELING,2107538,10:20.8,France,Positive
#VenteOM,http://twitter.com/search?q=%23VenteOM,%23VenteOM,,10:20.8,France,Positive
#VerbotsparteiCDU,http://twitter.com/search?q=%23VerbotsparteiCDU,%23VerbotsparteiCDU,,10:20.8,Germany,Positive
#b2405,http://twitter.com/search?q=%23b2405,%23b2405,,10:20.8,Germany,Positive
#Wuhan,http://twitter.com/search?q=%23Wuhan,%23Wuhan,13697,10:20.8,Germany,Positive
#Eternals,http://twitter.com/search?q=%23Eternals,%23Eternals,160807,10:20.8,Germany,Positive
#A100stoppen,http://twitter.com/search?q=%23A100stoppen,%23A100stoppen,,10:20.8,Germany,Negative
#HappyBrothersDayVIJAY,http://twitter.com/search?q=%23HappyBrothersDayVIJAY,%23HappyBrothersDayVIJAY,144841,10:20.8,India,Negative
#MoneyHeist,http://twitter.com/search?q=%23MoneyHeist,%23MoneyHeist,,10:20.8,India,Negative
#Eternals,http://twitter.com/search?q=%23Eternals,%23Eternals,160807,10:20.8,India,Negative
#SaveLakshadweep,http://twitter.com/search?q=%23SaveLakshadweep,%23SaveLakshadweep,184589,10:20.8,India,Negative
#India_With_Ramdev,http://twitter.com/search?q=%23India_With_Ramdev,%23India_With_Ramdev,47511,10:20.8,India,Negative
#SelflessServiceByDSS,http://twitter.com/search?q=%23SelflessServiceByDSS,%23SelflessServiceByDSS,10139,10:20.8,India,Negative
#Always_shining_SHINee,http://twitter.com/search?q=%23Always_shining_SHINee,%23Always_shining_SHINee,112756,10:20.8,India,Negative
#LaCasaDePapel,http://twitter.com/search?q=%23LaCasaDePapel,%23LaCasaDePapel,,10:20.8,India,Negative
#KAI_OnRadar,http://twitter.com/search?q=%23KAI_OnRadar,%23KAI_OnRadar,621334,10:20.8,India,Negative
#YellowFungus,http://twitter.com/search?q=%23YellowFungus,%23YellowFungus,39208,10:20.8,India,Negative
#psbbschool,http://twitter.com/search?q=%23psbbschool,%23psbbschool,,10:20.8,India,Negative
#Anjana_must_value_Pharmacists,http://twitter.com/search?q=%23Anjana_must_value_Pharmacists,%23Anjana_must_value_Pharmacists,51594,10:20.8,India,Negative
#HappyBirthdayKarthi,http://twitter.com/search?q=%23HappyBirthdayKarthi,%23HappyBirthdayKarthi,11702,10:20.8,India,Negative
#AsimWithFaridoon,http://twitter.com/search?q=%23AsimWithFaridoon,%23AsimWithFaridoon,,10:20.8,India,Negative
#BAEKHYUN_OnRadar,http://twitter.com/search?q=%23BAEKHYUN_OnRadar,%23BAEKHYUN_OnRadar,580502,10:20.8,India,Negative
#aajtak,http://twitter.com/search?q=%23aajtak,%23aajtak,,10:20.8,India,Negative
#FREEZE_Tracklist,http://twitter.com/search?q=%23FREEZE_Tracklist,%23FREEZE_Tracklist,131698,10:20.8,India,Negative
#फार्मासिस्ट_नही_हैं_झोलाछाप,http://twitter.com/search?q=%23%E0%A4%AB%E0%A4%BE%E0%A4%B0%E0%A5%8D%E0%A4%AE%E0%A4%BE%E0%A4%B8%E0%A4%BF%E0%A4%B8%E0%A5%8D%E0%A4%9F_%E0%A4%A8%E0%A4%B9%E0%A5%80_%E0%A4%B9%E0%A5%88%E0%A4%82_%E0%A4%9D%E0%A5%8B%E0%A4%B2%E0%A4%BE%E0%A4%9B%E0%A4%BE%E0%A4%AA,%23%E0%A4%AB%E0%A4%BE%E0%A4%B0%E0%A5%8D%E0%A4%AE%E0%A4%BE%E0%A4%B8%E0%A4%BF%E0%A4%B8%E0%A5%8D%E0%A4%9F_%E0%A4%A8%E0%A4%B9%E0%A5%80_%E0%A4%B9%E0%A5%88%E0%A4%82_%E0%A4%9D%E0%A5%8B%E0%A4%B2%E0%A4%BE%E0%A4%9B%E0%A4%BE%E0%A4%AA,52435,10:20.8,India,Negative
#ThirdWave,http://twitter.com/search?q=%23ThirdWave,%23ThirdWave,,10:20.8,India,Negative
#uominiedonne,http://twitter.com/search?q=%23uominiedonne,%23uominiedonne,,10:20.8,Italy,Negative
#Gasparri,http://twitter.com/search?q=%23Gasparri,%23Gasparri,,10:20.8,Italy,Negative
#Eternals,http://twitter.com/search?q=%23Eternals,%23Eternals,160462,10:20.8,Italy,Negative
#LaCasaDePapel,http://twitter.com/search?q=%23LaCasaDePapel,%23LaCasaDePapel,,10:20.8,Italy,Negative
#LCDP5,http://twitter.com/search?q=%23LCDP5,%23LCDP5,20089,10:20.8,Italy,Negative
#LasVegasOro,http://twitter.com/search?q=%23LasVegasOro,%23LasVegasOro,,10:20.8,Italy,Negative
#Wuhan,http://twitter.com/search?q=%23Wuhan,%23Wuhan,13675,10:20.8,Italy,Negative
#Pomeriggio5,http://twitter.com/search?q=%23Pomeriggio5,%23Pomeriggio5,,10:20.8,Italy,Negative
#24maggio,http://twitter.com/search?q=%2324maggio,%2324maggio,,10:20.8,Italy,Negative
#LaCasaDiCarta,http://twitter.com/search?q=%23LaCasaDiCarta,%23LaCasaDiCarta,,10:20.8,Italy,Negative
#Eurovision2022,http://twitter.com/search?q=%23Eurovision2022,%23Eurovision2022,,10:20.8,Italy,Negative
#Conceicao,http://twitter.com/search?q=%23Conceicao,%23Conceicao,,10:20.8,Italy,Negative
#Giro104,http://twitter.com/search?q=%23Giro104,%23Giro104,,10:20.8,Italy,Negative
